source              ,target              ,articles
-8706916677913996911,8670665194432039431 ,1033
-8306920077234587998,-6950990616566973209,1321
-6527875328048058380,4491408375132580815 ,1439
-6032953878285540342,-5123806391895283158,5915
-5960365032131816100,-2030977886066610622,2608
-5546905861789152862,-319213317550603216 ,3596
-3644856480091359686,1098278059664356283 ,2343
-2030977886066610622,-5633579729100265687,1054
-2030977886066610622,-4584259589746295249,13253
-2030977886066610622,-4300582705767753623,7268
-2030977886066610622,-1816866046870158706,2956
-1843037069962836581,4418623468891380562 ,2741
-1808812747603547780,-2209714333319565875,4942
-1808812747603547780,-2030977886066610622,8801
-1808812747603547780,7538947819750950667 ,1165
-1264356401435835211,2068313584669147388 ,2288
-1216926964751179433,5938483825255926276 ,2030
-1031268946513902603,-841256001430469459 ,1497
-977966794734927473 ,1832510329768604584 ,1053
-942256357442469323 ,67129535048934305   ,2855
-319213317550603216 ,-5536179139737943052,1123
-319213317550603216 ,-3031370732651188127,1374
-319213317550603216 ,2976762873055313603 ,1054
377008304198672281  ,1215002096928707874 ,1188
1731868121115529840 ,-319213317550603216 ,2430
2000442210124956849 ,-319213317550603216 ,1770
2873133290080674816 ,-1843037069962836581,2286
2995836344708591032 ,-2286218414458106215,1057
4093862199957464441 ,-2049965148602611775,1027
5690402462881397655 ,5294071802991557752 ,1347
5745090389146023302 ,-1086463102053860736,3204
6008067634782732883 ,-2209714333319565875,1345
6058238438453287039 ,-2597550477887731461,1256
6132887020992818052 ,-1731027801387243744,1643
6159299216786126563 ,-2019257571715061722,1055
6382886405921188060 ,5690402462881397655 ,1982
6537151015827973909 ,252755001403351534  ,1013
6915440518388851069 ,5938483825255926276 ,3769
8521781164735264993 ,-7036573288380974412,1480
8703150579817202173 ,-319213317550603216 ,1544
9086266514952383251 ,-232442968513540034 ,1134
-7515309291958133185,6381873041093583154 ,1282
-7512790269054083321,6672343591078621330 ,1010
-6406004153667163617,7490588149625952520 ,1249
-5749477538071095049,-2030977886066610622,1876
-5169132709813319123,2330092998442649523 ,1557
-5044865441892422651,-1843037069962836581,1372
-4430038640956617727,7538947819750950667 ,1237
-4230325695228945703,-6117186771910231345,1084
-3034908872723999323,7490588149625952520 ,1144
-2498084582014429470,7474647856397192602 ,1352
-2209714333319565875,1832510329768604584 ,6068
-2209714333319565875,7090419308735054832 ,2982
-2049965148602611775,5345010078989674752 ,1170
-2030977886066610622,4038455739488905858 ,1783
-1258665395754752430,-2030977886066610622,1743
